iter	Passed	Remaining
220	914	3224
221	918	3219
222	922	3215
223	926	3208
224	930	3204
225	934	3199
226	938	3194
227	942	3192
228	947	3188
229	951	3185
230	955	3180
231	959	3176
232	963	3171
233	967	3166
234	971	3163
235	975	3158
236	979	3154
237	983	3149
238	987	3145
239	991	3140
240	995	3135
241	999	3131
242	1003	3126
243	1007	3122
244	1011	3117
245	1015	3113
246	1019	3109
247	1024	3105
248	1028	3100
249	1032	3096
250	1036	3091
251	1040	3087
252	1044	3082
253	1048	3078
254	1052	3073
255	1055	3068
256	1060	3064
257	1064	3060
258	1068	3056
259	1072	3051
260	1076	3047
261	1080	3043
262	1084	3040
263	1088	3035
264	1092	3031
265	1096	3026
266	1101	3022
267	1105	3018
268	1109	3014
269	1113	3010
270	1117	3006
271	1121	3001
272	1125	2997
273	1129	2993
274	1133	2988
275	1138	2986
276	1142	2982
277	1146	2978
278	1151	2975
279	1155	2971
280	1159	2966
281	1163	2962
282	1167	2958
283	1171	2954
284	1175	2950
285	1180	2945
286	1184	2943
287	1188	2938
288	1192	2934
289	1196	2930
290	1201	2927
291	1205	2922
292	1209	2918
293	1213	2914
294	1217	2910
295	1221	2905
296	1225	2901
297	1229	2897
298	1234	2893
299	1238	2888
300	1242	2884
301	1246	2880
302	1250	2876
303	1254	2871
304	1258	2867
305	1262	2862
306	1266	2858
307	1270	2853
308	1274	2849
309	1278	2844
310	1282	2840
311	1286	2836
312	1290	2831
313	1294	2827
314	1298	2822
315	1302	2819
316	1306	2814
317	1310	2810
318	1314	2806
319	1318	2801
320	1322	2797
321	1326	2792
322	1330	2788
323	1334	2784
324	1338	2780
325	1342	2775
326	1346	2771
327	1350	2767
328	1354	2763
329	1358	2759
330	1362	2754
331	1366	2750
332	1370	2745
333	1374	2741
334	1378	2736
335	1382	2732
336	1386	2728
337	1390	2723
338	1394	2719
339	1398	2714
340	1402	2710
341	1406	2706
342	1410	2702
343	1414	2698
344	1418	2693
345	1422	2689
346	1426	2685
347	1430	2680
348	1434	2676
349	1438	2672
350	1442	2667
351	1446	2663
352	1450	2658
353	1454	2654
354	1458	2650
355	1462	2646
356	1466	2641
357	1470	2637
358	1474	2633
359	1478	2629
360	1482	2624
361	1486	2620
362	1491	2616
363	1495	2612
364	1499	2608
365	1502	2603
366	1506	2599
367	1510	2594
368	1514	2590
369	1518	2586
370	1523	2583
371	1528	2579
372	1532	2575
373	1536	2571
374	1540	2566
375	1544	2562
376	1548	2558
377	1552	2554
378	1556	2549
379	1560	2545
380	1563	2540
381	1568	2537
382	1572	2532
383	1576	2529
384	1580	2525
385	1584	2520
386	1588	2516
387	1592	2512
388	1596	2508
389	1600	2503
390	1604	2499
391	1608	2495
392	1612	2490
393	1616	2486
394	1620	2482
395	1624	2478
396	1628	2473
397	1632	2469
398	1636	2465
399	1640	2460
400	1644	2456
401	1648	2452
402	1652	2448
403	1656	2443
404	1660	2439
405	1664	2435
406	1668	2430
407	1672	2426
408	1676	2422
409	1680	2418
410	1684	2414
411	1688	2409
412	1692	2405
413	1696	2401
414	1701	2398
415	1705	2393
416	1709	2389
417	1713	2385
418	1717	2381
419	1721	2377
420	1725	2372
421	1729	2368
422	1733	2364
423	1737	2360
424	1741	2356
425	1745	2352
426	1749	2347
427	1753	2343
